,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
299, Total Fat (g),8.0,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
300,Total Carbs (g),49,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
301,Sodium (mg),1090,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
302,Calories from Fat,70,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
303,Saturated Fat (g),2.5,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
304,Trans Fat (g),0.0,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
305,Cholesterol (mg),15,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
306,Fiber (g),7,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
307,Sugars (g),4,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
308,Calories,350,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
309, Protein (g),18,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
310, Total Fat (g),9.0,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
311,Total Carbs (g),50,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
312,Sodium (mg),1020,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
313,Calories from Fat,80,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
314,Saturated Fat (g),3.0,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
315,Trans Fat (g),0.0,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
316,Cholesterol (mg),20,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
317,Fiber (g),6,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
318,Sugars (g),4,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
319,Calories,140,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
320, Protein (g),10,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
321, Total Fat (g),3.5,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
322,Total Carbs (g),16,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
323,Sodium (mg),470,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
324,Calories from Fat,30,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
325,Saturated Fat (g),1.0,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
326,Trans Fat (g),0.0,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
327,Cholesterol (mg),15,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
328,Fiber (g),2,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
329,Sugars (g),2,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
330,Calories,150,Fresco Crunchy Taco,Beef & Pork,TacoBell
331, Protein (g),6,Fresco Crunchy Taco,Beef & Pork,TacoBell
332, Total Fat (g),8.0,Fresco Crunchy Taco,Beef & Pork,TacoBell
333,Total Carbs (g),13,Fresco Crunchy Taco,Beef & Pork,TacoBell
334,Sodium (mg),310,Fresco Crunchy Taco,Beef & Pork,TacoBell
